System No,Solute,Solvent 1,Solvent 2,Xs_Exper,x1,x2,xs1p,xs2p,Temp
17.0,Caffeine,Water,Ethanol,0.01138,0.5,0.5,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.00982,0.6,0.4,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.00707,0.7,0.3,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.00507,0.8,0.2,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.00332,0.9,0.1,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.00209,1.0,0.0,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.00216,0.0,1.0,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.00772,0.1,0.9,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.01532,0.2,0.8,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.02321,0.3,0.7,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.02489,0.4,0.6,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.02285,0.5,0.5,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.02004,0.6,0.4,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.01358,0.7,0.3,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.00942,0.8,0.2,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.00575,0.9,0.1,0.00307,0.00216,308.0
17.0,Caffeine,Water,Ethanol,0.00307,1.0,0.0,0.00307,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.0017,0.0,1.0,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00227,0.1,0.9,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00291,0.2,0.8,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00376,0.3,0.7,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00411,0.4,0.6,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00473,0.5,0.5,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00557,0.6,0.4,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00578,0.7,0.3,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00578,0.8,0.2,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00513,0.9,0.1,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00409,1.0,0.0,0.00409,0.0017,298.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00216,0.0,1.0,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00303,0.1,0.9,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00407,0.2,0.8,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00478,0.3,0.7,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.0056,0.4,0.6,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00621,0.5,0.5,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.0073,0.6,0.4,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00765,0.7,0.3,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00746,0.8,0.2,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00654,0.9,0.1,0.00489,0.00216,308.0
18.0,Caffeine,Ethyl Acetate,Ethanol,0.00489,1.0,0.0,0.00489,0.00216,308.0
19.0,Caffeine,Dioxane,Water,0.00229,0.0,1.0,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.00453,0.1,0.9,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.0078,0.2,0.8,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.01195,0.3,0.7,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.01465,0.35,0.65,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.01617,0.4,0.6,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.01997,0.45,0.55,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.02137,0.5,0.5,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.02429,0.55,0.45,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.02628,0.6,0.4,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.02647,0.65,0.35,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.02823,0.7,0.3,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.02605,0.75,0.25,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.02698,0.8,0.2,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.02255,0.9,0.1,0.00849,0.00229,298.0
19.0,Caffeine,Dioxane,Water,0.00849,1.0,0.0,0.00849,0.00229,298.0
20.0,Carbazole,Dibutyl Ether,1-Chlorooctane,0.00242,0.0,1.0,0.00501,0.00242,298.0
20.0,Carbazole,Dibutyl Ether,1-Chlorooctane,0.00317,0.1102,0.8898,0.00501,0.00242,298.0
20.0,Carbazole,Dibutyl Ether,1-Chlorooctane,0.00385,0.2004,0.7996,0.00501,0.00242,298.0
20.0,Carbazole,Dibutyl Ether,1-Chlorooctane,0.00438,0.3017,0.6983,0.00501,0.00242,298.0
20.0,Carbazole,Dibutyl Ether,1-Chlorooctane,0.00479,0.3994,0.6006,0.00501,0.00242,298.0
20.0,Carbazole,Dibutyl Ether,1-Chlorooctane,0.00518,0.5056,0.4944,0.00501,0.00242,298.0
